0x30b9e8db,전사의 길
0xa4be4c65,최대 지구력이 1 증가합니다.
0xa6a43b3d,"왕실 전령이 관문 기지 ""보라""로 가는 길에 실종되었습니다. \n\n근처에서 찾을 수 있을 것입니다. 왕실 전령을 찾으세요!"
0xa7b1bbf2,"사나운 덩굴이라는 이상한 침 뱉는 식물에 집착했던 올릭에 대한 쪽지를 발견했습니다. 다른 사람들은 거리를 두었지만, 그는 더 가까이 다가갔습니다. 맞을 만큼 충분히 가까이 말이죠. 그는 그것으로부터 무언가를 얻었음에 틀림없습니다.\n그의 친구는 이해하지 못했지만 당신은 이해할지도 모릅니다.\n사나운 덩굴을 찾아가 한 대 맞아보세요."
0xa844e820,어둠의 지휘관
0xa87179d2,<npc>목수</npc>에게 불타는 황무지의 영약 우물을 둘러봐 달라는 부탁을 받았습니다. 우물 바닥까지 내려가서 우물 블록을 입수하세요!
0xa9102c6c,유목민 고원 망자의 전당 유물 찾기
0xa959f73a,<b>능숙한 솜씨:</b>\n이 무기로 인한 피해는 민첩 특성에 따라 달라집니다. 독특한 쳐내기 후 공격을 실행할 수 있습니다.
0xa993363a,어둠의 안개 심연 거주자
0xaa07dcb1,레벨우드의 고대 다리에서 큰 전투가 벌어졌음을 알게 되었습니다. 그곳을 탐색하여 어둠의 안개 내부에 어떤 보물이 뒹굴고 있는지 알아보세요!
0xab7e2960,염색약 찾기: 반짝이는 물
0xab8facbc,잊힌 무덤의 깊숙한 내부는 안개에 완전히 뒤덮였습니다. 어둠의 무리가 이곳의 추억을 망가뜨리고 있습니다!\n\n안개를 일으킨 <b>원인을 찾아</b> <b>맞서 싸우세요!</b>
0xabcb3a7f,영원한 서리 화살의 개량형입니다.\n\n<b>영원 화살:</b> 영원 화살은 <b>고갈되지 않습니다.</b> 영원 화살을 착용하고 <b>마나</b>를 소모하여 <b>활</b>로 발사하십시오.
0xabd996f1,"세이렌 수색자의 전설을 발견했습니다! 그들의 길을 따라 물속으로 뛰어들어 독특한 치장용 의상을 획득하세요!\n\n사이렌 수색자의 의상은 베일워터 분지의 주요 수역에서 찾을 수 있습니다. 다음 지역을 방문해 보세요.\n용꿈 호수,\n심장 선혈 호수, \n불가사리 해안, 크롬빌 온천, \n작은 석호"
0xac2d3b2e,전투 중에 <b>갈고리</b>를 사용하여 보통 크기의 적을 끌어당길 수 있습니다.\n\n<b>비용:</b>지구력 50 (적 레벨에 따라 증가)
0xac34b162,광산 균열로 이동하여 그곳에서 새 <b>건축 자재</b>를 찾으세요. 거점에 사용할 블록이 늘어날 것입니다!
0xac4825f8,막기/쳐내기
0xac86cf25,의복 - 유목민 고원
0xad0a981b,후방 공격 피해량이 증가합니다.
0xad43e9b3,유목민 고원 사원에 도달하기
0xadc2f82a,<npc>대장장이</npc>가 <location><lorename>파이크미드</lorename> 요새</location>에 얽힌 몇 가지 이야기를 들려주었습니다. 수중에서 빛나는 신비로운 빛이 <lorename>파이크미드</lorename> 여왕의 영광스러운 통치를 상징한다는 소문이 있습니다. 대장장이의 딸은 그 빛을 직접 목격했다고 합니다.
0xae291db7,"가시밭 묘지에는 특수한 풍화된 돌 블록이 있습니다. <b>그곳을 탐색하고 블록을 찾아</b>, 거점 건설의 선택지를 넓혀 보세요!"
0xaef97ed8,에밀리 프레이의 반지를 발견했습니다. 그녀에게 돌려주면 매우 기뻐할 것입니다.
0xaf71a0eb,근처에 <lorename>수수께끼의 방랑자</lorename>가 남긴 상자가 있다는 것을 알아차렸습니다. 이 상자를 찾아서 내용물을 획득하세요!
0xafaec60a,어둠의 쐐기
0xafc762f4,화염 제단을 제작하고 배치하여 건설을 시작하십시오
0xafe52b9b,<b>어둠이 깃듦</b>: \n이 무기는 어둠에 오염되어 강력한 어둠의 안개 피해를 줍니다. 어둠의 안개 소굴 안에서만 찾을 수 있습니다.
0xb07e6080,오래 전에 소실된 돌 제조법입니다. 블록의 표면을 보호하며 우아한 흰색으로 매우 인기가 높습니다.
0xb279a316,검 발견
0xb31e9cf8,"음악을 연주하려면 노래를 알아야 합니다. 마을과 선술집 곳곳에 흩어진 <b>악보</b>를 찾아서 연주법을 배우세요!\n\n악보는 스프링랜드에 한 장, 레벨우드에 한 장, 유목민 고원에 두 장, 불타는 황무지에 두 장이 있습니다."
0xb477a62d,유목민 고원의 야생동물
0xb5042b71,어둠의 안개를 떠나십시오!
0xb6572b79,"<npc>사냥꾼</npc>은 새로운 생존자 앨든 크로울리에게서 죽음의 악취가 난다고 주장합니다. 그녀는 그를 극도로 경계하며, 마주칠 때마다 몸서리를 칩니다."
0xb731c997,드락아리
0xb8f95c9a,부카의 거처에서 곤봉 하나를 발견했습니다.
0xb9611953,재의 방주
0xb9891ee4,어둠의 안개 시야 물약
0xb9a633ed,"이발사는 망자들의 죽은 눈에 서린 질투 어린 시선에 매료되었습니다. 그는 어릴 적 자주 찾았던 수도 근처의 묘지를 언급하며, 그곳의 고대 유적을 탐험해 보라고 제안했습니다.\n\n<b>계속하려면 숨겨진 망자의 무덤에 도달하세요!</b>"
0xb9b2c784,상단의 발자취 추적
0xbb3045ae,베일워터 분지의 두더지
0xbb5f14f3,염색약 찾기: 최고의 초록
0xbc6d4605,어둠의
0xbd42a6d5,드락
0xbd62c497,수집가는 유목민 고원 망자의 전당 내부에 있는 엑토플라즘 조각이 신비한 초록색을 만들기에 안성맞춤이라고 했습니다.\n수집가는 당신이 이전의 전당들을 모두 통과했을 때만 해당 전당을 열 수 있는 열쇠를 제작해 줄 것입니다.\n\n유목민 고원 망자의 전당에서 엑토플라즘 조각을 수집하여 인벤토리에 지닌 채 이발사에게 돌아가세요!
0xbe1777fd,<npc>수집가</npc>는 원래 북부에서 유래한 망자의 야수들에 대해 이야기했습니다.\n\n화염의 저주를 받은 외눈박이 거인들은 운명에서 벗어나려 산정상을 내려왔으나 소용없었습니다. 이제 그들은 망자의 전당 가장 깊은 곳을 배회하고 있습니다.
0xbe1b8753,유목민 고원의 불꽃
0xbf7cd824,약탈자의 동굴에서 가치 있는 물건인 울부짖는 칼날을 발견했습니다. <location><lorename>파이크미드</lorename> 요새</location>의 거장 대장장이의 명패가 새겨져 있습니다. 그라면 이 검의 유래에 대해 더 자세히 알고 있을 것입니다.
0xbf9cac35,"누군가가 실수로 유목민 고원의 <b>붕괴된 다리에 건설용 블록</b>을 놔 두었습니다. 이 건설용 블록을 찾아서 손에 넣고, 블록 제작법을 추가로 익히세요!"
0xbfb5995c,지구력 재생력이 증가합니다.
0xbff182d7,"<b>흠뻑 젖음</b> \n<b>30</b>초 동안 지구력과 지구력 재생이 <b>30%</b> 감소합니다. 또한 <b>얼음 및 충격 저항</b>이 <b>30%</b> 감소하지만 <b>화염 저항</b>은 <b>30%</b> 증가합니다.\n<b>흠뻑 젖음</b>은 적에게 적용할 수 있습니다.\n<b>흠뻑 젖음</b> 지속 시간은 온기로 줄어들지 않으며, 효과 종료 시 <b>젖음</b> 디버프로 전환됩니다."
0xc02329ad,핏빛 장미의 흔적
0xc0528f3e,어둠의 안개 오물
0xc1548a37,레벨우드 망자의 전당에서 찾을 수 있습니다
0xc1efe6c6,어떤 일행이 부카의 매복에 당했다는 소식을 들었습니다. 그들 중에 <b>무기</b>를 떨어뜨린 자가 있습니다. 부카는 그것을 전리품 삼아 근처 야영지로 가져갔을 것입니다.
0xc2277bf5,첫 기술을 잠금 해제하세요.
0xc26dfcd5,<npc>연금술사</npc>는 <npc>수집가</npc>가 어둠의 에너지나 마법에 손을 댔다고 믿고 있습니다.\n\n주의를 당부하면서도 본인 역시 호기심을 느끼는 듯합니다.
0xc45e51f9,약탈자 여족장
0xc590da6b,\n<b>영원 주문:</b> 영원 주문은 <b>고갈되지 않습니다.</b> 주문을 장착하고 <b>마나</b>를 소모하여 <b>지팡이</b>로 시전하십시오.
0xc765ad6e,약탈자
0xc780bc1b,화염이 첫 번째 화염의 후예의 각성을 기념하여 기념 축하 행사를 준비하라고 했습니다.\n\n행사 준비를 하려면 축하 행사에 걸맞은 의상을 획득해야 합니다! 지도에 표시된 위치에 도달하면 새 의상을 얻을 수 있습니다!
0xc850cd89,"케이드 호손이 <location>모르웨나</location>를 건설하던 시절의 이야기를 들려주었습니다. 그곳이 야생동물과 역병으로 파괴되자, 그는 현재를 복구하기보다 미래를 위한 건설에 집중하기로 마음먹었습니다."
0xc8874dce,구원자 기술 사용 시 주변 안개 속에서 쓰러진 플레이어를 되살릴 수 있습니다. 두 플레이어는 어둠의 안개 체류 시간을 서로 나눕니다.\n범위: 시전자 주변 5m
0xc9b81c49,제작법을 익힐 때 사용하는 재료입니다.
0xc9d11225,망자의 전당
0xca47258a,영약 우물 정화
0xca690d45,<npc>수집가</npc>와 어둠의 안개
0xcaf0b4df,갈고리를 사용하여 소형 및 중형 적을 자신에게 끌어당깁니다. 끌려온 적은 1초 동안 기절합니다.\n지구력 소모: 50
0xccd5bb5e,유목민 고원의 모든 오벨리스크를 읽으세요.
0xcf53293f,"엠버베일을 방문해 주셔서 감사합니다. \n\nEnshrouded 데모 제한 시간이 종료되었습니다. 10월 22일에 데모가 삭제될 예정입니다.\n\n지금까지의 여정이 즐거웠다면 위시리스트에 인슈라오디드를 추가하고 얼리 액세스 출시 및 최신 정보를 받아보십시오!\n\n화염의 후예여, 얼리 액세스 출시 후에 다시 만나기를 고대하겠습니다."
0xd037fc60,"<npc>수집가</npc> 앨든 크로울리는 망자의 전당에 아주 오랜 시간 갇혀 있었기에 화염의 후예에 대해 전혀 모르고 있었습니다.\n\n그는 자신을 ""화염에 닿은 자""라 칭하면서도, 그 이상 구체적인 설명은 피했습니다."
0xd039d915,어둠의 안개 모래
0xd110d72a,불타는 황무지
0xd155168d,요리 시 10% 확률로 요리를 하나 더 획득합니다.
0xd1b030b8,"<npc>연금술사</npc>의 고대 유적지에 있는 메모에 따르면, 약탈자가 동료 몰래 특별한 소지품을 숨겨 두었다고 합니다. 이 은닉처는 그리 멀지 않은 곳에 있을 것입니다."
0xd1c2907b,<location><lorename>파이크미드</lorename> 리치</location>의 황실 정원 구역에 있는 낡은 가옥 중 한 곳의 꼭대기 층에 귀중품이 숨겨져 있습니다! 다락방으로 가는 길을 찾아 그곳의 숨겨진 보물을 찾아보세요!
0xd1dba56e,베일워터 분지 제초 작업
0xd2281e8f,근처 약탈자 야영지에 도달하기
0xd303aa14,<npc>목수</npc> 케이드 호손은 레벨우드에 자리 잡은 마을 <location>디아드윈</location>을 자신의 손으로 직접 건설했다고 설명했습니다. 그곳에 그가 남겨둔 반 나무 블록이 있을지도 모릅니다.
0xd3637e62,마을 주민 중 한 명인 한나 리드가 대부분의 소지품을 남겨두고 <location>켈빈 요새</location>로 도망쳤다고 말했습니다. 아마도 한나의 옛 농장에서 귀중품을 찾을 수 있을 것입니다.\n\n 한나 리드는 당신이 옛집을 찾아가도 좋다고 허락했습니다. 찾은 물건은 모두 가져갈 수 있습니다!
0xd3868360,어둠의 안개 응시자
0xd4414dbb,<location>디아드윈</location>에서 반 나무 블록 몇 개를 찾았습니다. <npc>목수</npc>도 분명 기뻐할 것입니다.
0xd4f93e05,숨겨진 망자 무덤에 도달하기
0xd53a99a1,길은 한 밀실로 이어졌습니다. 촛불로 불을 밝힌 그곳에는 사람의 유해가 가득했습니다.
0xd6832914,베일워터 분지에서 모든 화염 사원과 성소를 발견하세요.
0xd7ae368c,베일워터 분지의 천문학자
0xd7c2f30c,보석 슬롯이 있는 무기를 획득하고 완전히 강화하여 보석을 장착하세요.
0xd86bd18c,유목민 고원에서 어둠의 안개 뿌리를 모두 제거하세요.
0xd9b1cdf7,하프 연주자는 전 악단 멤버 중 한 명인 저주받은 다니엘이 청중을 놀라게 하고 소란을 일으켜 마지막 공연을 망쳤다고 쪽지에서 불평했습니다. 하프 연주자의 묘사에 따르면 다니엘은 행동의 변화를 일으키는 질병을 앓고 있던 것 같습니다. 다니엘은 악단에서 나와 서쪽으로 여행했습니다.\n\n지도에 표시된 위치를 조사하고 희귀한 악기와 더 많은 단서를 찾으세요!
0xd9b8fb21,\n<b>정신 집중 주문:</b> <b>입력을 길게 눌러 정신을 집중하십시오.</b> 주문을 장착하고 <b>마나</b>를 소모하여 <b>지팡이</b>로 주문을 시전하십시오.
0xda259f5d,염색약 찾기: 고요한 청록
0xdbe6f9ed,베일워터 분지에서 어둠의 안개 뿌리를 모두 제거하세요.
0xdc1b1953,돌 건축 재료가 채워집니다.
0xdc5248c6,약탈자 광부
0xdc8ab65c,유목민 고원 밤의 성소에서 치장용 창공의 학자 의상 세트의 일부를 발견했습니다.\n\n아마 다른 부위들도 이 지역의 다른 밤의 성소에 흩어져 있을 것입니다.\n\n유목민 고원에 있는 밤의 성소들을 수색하여 학자 의상 세트의 모든 부위를 회수하세요! \n\n이 의상 세트는 게임 플레이를 통해 얻거나 이벤트 기간 동안 외부 플랫폼에서 크리에이터를 후원하여 얻을 수 있습니다.
0xdcc65a80,음유시인 조수인 체스터 로프트는 당신에게 전설의 원반북을 찾아달라고 합니다.\n\n그는 드락이 이런 악기로 멜로디를 연주한 걸 들은 적이 있다고 했습니다. \n<b>그 사원의 위치는 지도에 표시되어 있습니다.</b>
0xdd32a3fc,어둠의 적을 벨 때 마치 노래하는 듯한 소리가 들리는 옛 우아한 무기입니다.
0xde4d54e4,"화염의 후예여, 근처에서 강력한 마법 주문이 느껴집니다. 가차 없고도 <i>영원한</i> 이 주문은 사용해도 사라지지 않고 반복해서 시전할 수 있습니다. 흙 아래 숨어 당신을 기다리고 있으니 어서 찾아내십시오."
0xdfd22e1d,\n<b>주문: 사용 시</b> 고갈됨. 주문을 장착하고 <b>마나</b>를 소모하여 <b>지팡이</b>로 시전하십시오.
0xe02622a2,첫 번째 영약 우물의 수호자를 처치하세요.
0xe15bf3a4,체력 재생력이 증가합니다.
0xe2270200,어둠의 안개 와이번을 처치하세요.
0xe47184df,"영약은 <b>강력한 힘을 부여하지만, 장기적으로 끔찍한 부작용을 동반합니다.</b> 연금술사는 이 영약이 세상과 인류에게 <b>많은 비극</b>을 초래했으며, 결국 영약 전쟁까지 일으켰다고 설명했습니다."
0xe49a26a4,"허니듀스 악단의 플루트 연주자가 남긴 쪽지를 통해, 멤버 중 한 명인 하퍼가 솔로 활동을 위해 서둘러 <location>수라트의 휴식지</location>를 떠났다는 사실을 알게 되었습니다. 하퍼는 근처 성채 방향으로 떠났습니다.\n\n성채를 탐험하며 하퍼의 희귀한 악기를 찾고, 다른 멤버들에 대한 단서도 확인하세요!"
0xe535f933,드락메르
0xe579b17b,의식용 부카 어금니로 만든 강력한 망치를 발견했습니다.
0xe5c5fba4,불타는 황무지에서 거대한 사원을 발견했습니다. 온갖 난관을 넘어서 사원 마지막 방에 도달하고 특별한 전리품을 찾아내세요!
0xe641b858,음유시인 조수를 위한 전설적인 원반북
0xe675dba8,어둠의 안개
0xe72adf22,당신은 한 때 아쿠아마린 수정 가루를 판매하는 새로운 거래를 꿈꿨던 어느 광부가 남긴 쪽지를 찾았습니다. \n\n<b>근처 아쿠아마린 광산을 수색하여 그 광부가 남긴 재료의 흔적이 조금이라도 있는지 확인해보세요.</b>
0xe89c4404,드락달
0xe93f4654,"메모 내용에 따르면, 약탈자가 농부의 연감 이외에도 몇 가지 물건을 추가로 챙겨 갔다고 합니다. <location>수라트의 휴식지</location>에 도착하여 여분의 전리품을 보관한 곳을 알아내세요!"
0xe9a6d4f9,건축 블록
0xe9a958cc,망자의 전당 유물 찾기
0xec772d9a,레벨우드 망자의 전당 유물 찾기
0xeca75bb2,"결국 재의 방주에서 구출된 인류는 극소수에 불과했습니다. 인류의 나머지는 대지를 오염시키는 어둠의 안개에 집어삼켜져 어둠 속으로 사라졌습니다. 비록 인류의 마지막 보루는 약해졌으나, 화염의 후예가 엠버베일에 다시 한번 빛을 가져다줄 것이라는 희망이 남아있습니다."
0xecbfde56,약탈자에게 입히는 피해량이 증가합니다.
0xed334939,<location>로우 타이드</location>에서 지팡이 하나를 발견했습니다. <b><lorename>수수께끼의 방랑자</lorename></b>라 불리는 자의 물건이었습니다.
0xed78a95c,"수집가는 당신이 공허의 공포, 생의 부재를 마주하기엔 너무 순진하다고 믿습니다. 수집가의 말에 따르면 엠버베일의 기억을 보존하는 건 헛된 일인데 모든 것이 결국 까맣게 퇴색하기 때문이라고 합니다.\n\n수집가의 말이 틀렸음을 입증하려면 알바네브 봉우리로 가서 수집가가 ""심연의 촉수""라고 묘사한 상대를 쓰러뜨려야 합니다.\n\n먼저 수집가가 말한 <b>무덤에 도달해야</b> 합니다."
0xee986b20,에밀리 선술집 찾기
0xeef8a6e3,"다시 살아나다니! 정말 고맙습니다, 화염의 후예여!"
0xefedfc8a,"벌레가 들끓는 우물 바닥에서 어둠의 안개에 오염된 강력한 망치, 드레드베인을 발견했습니다."
0xf0511668,염색약 찾기: 영롱한 푸른빛
0xf27907b6,지팡이는 주문 충전과 마나를 사용하여 <b>주문</b>을 시전할 수 있습니다. <b>주문 충전</b>을 장착하여 시전하십시오.
0xf36658df,염색약 찾기: 붉은 구원
0xf3dd9e17,당신의 야영지에 있는 사냥꾼 갤런 예거가 동료의 사냥꾼 의상을 되찾기 위해 <location>브리틀부쉬</location>에서 약탈자 무리를 처치해달라고 했습니다!\n\n해당 장소에 가서 그곳에 있는 적을 처치하고 치장용 아이템 4개를 찾으세요!
0xf46ab761,불타는 황무지의 고대 첨탑에 도달하세요.
0xf4d19132,반 나무 블록
0xf4f2eb05,모든 마법 번개 피해량이 증가합니다.
0xf587d758,"자신을 속이지 마십시오, 나약한 화염의 후예여. 어둠의 안개 너머는 여전히 위험하니, 무기를 강화하려면 꼭 저를 찾아오십시오."
0xf5bb3714,야생동물 및 야생 짐승에게 입히는 피해량이 증가합니다.
0xf68315df,"목수의 ""서명"""
0xf6b73098,"<npc>사냥꾼</npc> 아탈란 스크리는 '핏빛 장미'로 알려진 옛 <lorename>파이크미드</lorename> 여왕의 근위대에 대해 이야기해주었습니다.\n그들 중 소수가 <lorename>보르고스</lorename> 영주에게 반기를 들었다고 합니다. 그녀는 그들이 어떻게 되었는지는 모르지만, 마지막으로 목격된 장소는 알고 있습니다.\n\n그곳에서 그들의 반란이 남긴 흔적을 찾아보십시오."
0xf71e3333,부카에게 입히는 피해량이 증가합니다.
0xf787ccf7,"어둠의 안개 소굴 깊은 곳에서 자라는 황금빛으로 빛나는 식물에 대해 묘사하는 쪽지를 발견했습니다. 그 빛은 매혹적이지만, 동굴에는 경이로움 이상의 것이 있습니다. \n\n어둠의 안개 소굴에 도달하여 작성자가 무엇을 보았는지 알아보세요."
0xf7d97219,불타는 황무지의 망자의 전당에서 방어구 구성품을 하나 찾았습니다. \n\n<b>이 의상의 나머지 구성품을 모두 찾아 세트를 완성하세요!</b>
0xf86cef6e,"사냥꾼이 ""최고의 사냥감""에 대해 언급하며 불타는 황무지 지역에 있는 적 야영지 위치를 일러주었습니다. 그곳은 훌륭한 도전 과제가 될 것입니다!"
0xf9e89389,목록에서 능력치 두 개를 선택하십시오. 선택한 능력치가 각각 $$arg0$$레벨씩 증가합니다.
0xfaedd2a1,어둠의 안개 개구리
0xfb9d76b9,유목민 고원 화석 찾기
0xfc778f3c,어둠의 독수리
0xfc98d3c1,이전보다 훨씬 강력하고 치명적인 어둠의 안개 화살입니다. 적중 시 안개 구름을 뿜어냅니다.
0xfe08bc3d,당신은 드락달 야영지 근처에서 반복되는 번개에 관한 흥미로운 사연이 기록된 쪽지를 발견했습니다.\n\n이 야영지를 찾아서 조사해보세요!
0xfe0a58f5,외형 아이템
0xfef9c98f,화염이 근처에 묻혀 있는 <b>강력한 영원 주문</b>의 위치를 계시했습니다. 이 주문은 획득 시 탄약 소모 없이 무한히 <b>시전할 수 있습니다.</b>\n\n위치는 지도에 표시됩니다.
0xff31f380,배달부 카오리 콘웨이가 새로운 치장용 의상을 찾아보라고 했습니다. 콘웨이는 아직도 많은 버려진 기지에 비슷한 물건들이 보관되어 있다고 했습니다.\n\n지도에 있는 표식을 따라가서 물건이 있는 기지를 찾으세요!
0xff4782f6,"잘해주었습니다, 어둠의 안개 뿌리를 뽑아내고 영약 우물을 정화했군요. 그렇다고 곧장 영웅이라도 된 것처럼 굴지는 마십시오. 아직 할 일이 많으니까요!"
0xff495c15,알바네브 봉우리에 악보가 흩어져 있습니다! 음유시인이 여행하고 있기 때문에 유목민 고원에서 산으로 이어지는 길을 따라 여러 장의 악보가 떨어져 있습니다. \n\n지도에 표시된 지역을 탐험해 첫 번째 악보를 찾으세요!
0x198d694f,부카 투사
0x294f0546,어둠의 새끼 용
0x2a52f262,어둠의 흉물
0x3c347932,어둠의 시클사이드
0x41bcf61f,어둠의 안개 추적자
0x5a92669d,폭식의 약탈자 여족장
0x875a0d52,약탈자 폭군
0xa8208b0c,백발의 약탈자 여족장
0xac12ea51,히드락달
0xc24a482e,어둠의 위습와이번
0xf64307df,어둠의 천둥투사
0xf85abcda,공허의 키클롭스
0x10404802,전설의 원반북
0x1224258b,재의 방주
0x1c30c136,영약 복용
0x21141381,망자의 전당으로 내려가기
0x23d969b4,<keyitem>가마솥</keyitem> 발견
0x31cdd43e,수색 지원
0x36df5bf8,맴도는 독수리 떼
0x37c607f9,태양 사원 이야기
0x40ba3c7f,내 반 나무 블록
0x46208370,양털 모으기
0x478a94c8,나의 <craftingstation>방추</craftingstation>
0x48d226ae,원반북 연주법
0x4905ebf7,낚시하러 가기
0x49254c21,수수께끼의 망자의 전당
0x4a8ddd44,망자 조심
0x4f8372c9,색상 팔레트 찾기
0x529ebc03,<craftingstation>조리대</craftingstation>용 <keyitem>가마솥</keyitem>
0x52fb2684,영약의 위험성
0x568a21f9,상단 여정
0x5bda2ea6,저주
0x621666f8,드락달의 비밀
0x6f602ca2,<craftingstation>탁자 톱</craftingstation> 필요
0x70c87c12,인상적인 옷차림
0x772541f9,망자의 전야 축제
0x780e9bc1,<craftingstation>석공 도구</craftingstation> 확보
0x7c23ecfe,베일워터 분지의 색상
0x80309437,유목민 고원 밑에 도사리는 존재
0x8c29d951,농사 도감 회수
0x8e4c7817,타오르는 빨강
0x922de69d,회수한 모든 에픽 악기
0x955226ff,<npc>목수</npc> 구조 완료
0xa9846a12,수집가의 도움
0xac25e896,어둠의 안개의 저주
0xae5fdbb2,핏빛 장미의 흔적
0xaf00dd08,작물 도감
0xaf75197c,회색의 잔영
0xbcf9be76,화염으로부터 해방
0xcc48afb0,유목민 고원에서 온 <npc>사냥꾼</npc>
0xd7f2c4ca,넓어지는 세상
0xe16d909d,목수의 야영지
0xf262f64e,<craftingstation>막자사발</craftingstation> 회수
0x09f2ba9b,치명적인 어둠의 안개 속
0x0c5fcf0b,어둠의 안개 진창
0x0f8a54ae,어둠의 플라스크
0x20597ef2,어둠의 저주 보호
0x5372dcca,어둠의 저주
0x59ec6ad7,질식
0x6e60b791,추위 노출
0x81302dfc,어둠의 안개 저항
0x9b7fd703,영약 광증
0xa8854b98,영약 효과
0xc35f0e15,어둠의 안개 불꽃
0xc3b0651b,물속 걷기
0xcb08daca,드락 영혼 플라스크
0xd228c805,어둠의 안개 태우기
0xd5cc8950,어둠의 안개 피로
0xdc91cb91,깊은 진창
0xf39f852e,어둠의 안개 체류 시간
0x6ce4890c,움직이는 동안에는 상호작용할 수 없습니다
0x740831d3,영약
0x4c477d4c,어둠의 안개 생존 플라스크
0x5133119a,작업장
0x6a5272c4,망자의 전야 세트
0x71b6883f,균류
0x7a622de2,핏빛 장미 세트
0x7ada450a,마법사 세트
0x7ebfedc9,야생 식물
0x7fd99b61,기타 소품
0x8bf6a685,보관함
0xa13e994a,강화
0xa7e2a50c,보호막
0xbe56f636,지구력
0xc4fcb72a,망자의 전야
0xdc789036,외형
0xf00f4271,지구력 재생
0xf0a5b27f,순찰자 세트
0xf3d4fe2d,치트 상자 (자동으로 채워짐)
0xfcfa26c1,대마법사 세트
0xd4ce19e2,목수
0xe48c4e3d,화염으로 되돌려 보냅니다
0x00bdfefd,드락 부조 VI
0x01653c1e,번개 얼음 완드
0x016f96b9,갈퀴
0x0183c6ff,야자나무 협탁
0x0193a023,대형 고대 유적 문
0x01d44f69,근래의 드락 완드
0x01da4873,철 어둠의 새끼 용 전리품
0x01daabf1,대형 야자수 찬장
0x01f91b1a,큰 털멍석
0x026aefd9,부카 투사 머리
0x028dc45b,베일워터 분지 망자의 전당 열쇠
0x02fe767d,대형 조각된 나무 캐비닛
0x0356393f,조명탄
0x03a1f049,중형 플라스크
0x03e3b48f,구운 그물버섯
0x03fa51a6,거대한 망자의 전당 깃발
0x047f1e66,어둠의 혼란 페로몬
0x04ea9895,어둠의 안개 접착제
0x0574be31,돌 기둥 블록
0x059489a5,구운 사냥감 고기
0x05d7c0d8,어둠의 저주 정화의 물약
0x06c8915c,큰 가축 쿠션
0x06ebf45f,어둠의 키클롭스 전리품
0x0776421f,가짜 나무 바닥 통로
0x077d490d,고급 낚시 미끼
0x0799b3d7,늑대의 히드라
0x07edd041,어둠의 안개 생존 플라스크
0x07f3260d,중형 망자의 전당 깃발
0x082bb2a8,베일워터 분지 흙
0x088f3ad8,큰 모양
0x08d38bde,석화된 어둠의 안개 추적자 껍질
0x08dd4ab5,투사의 도끼
0x091f6589,입식 고대 유적 관
0x09bba163,어둠의 안개에 서린 독수리 발톱
0x09cbd09d,베일워터 분지 판자 산책로 I
0x0a003973,불타는 황무지 꽃 묘목
0x0d6ed164,대형 고대 유적 선반
0x0dda819d,혼합 사암 블록
0x0de844da,큰 관 뚜껑
0x0ecd35da,돌 울타리
0x1040982d,화로
0x10db2aeb,벰벨 주전자
0x10ef51eb,전용 망자 투구
0x11a266d2,바위 도로 블록
0x1334504c,망자의 전당 블록
0x14e3dd8e,큰 망자의 전야 호박 II
0x15271ebe,드락 발톱
0x15552c67,대형 높은 고대 유적 관 I
0x15eba77b,대형 드락달 문
0x15f07267,두개골 전리품 VI
0x1814e236,장식용 화덕 I
0x19579a6e,돌 의자
0x1a531aa8,돌 화장실
0x1aa99baa,중형 상자
0x1aae5a6b,고대 유적 왕좌
0x1abd620d,핏빛 장미 장화
0x1aff9249,중형 망자의 전야 호박 I
0x1c12d184,소형 고대 유적 찬장
0x1e32d7a1,밧줄이 달린 평범한 열대나무 울타리 I
0x1e7f4a6d,철 부카 투사 전리품
0x1ea9d97e,핏빛 장미 사슬 투구
0x1ecd0b1e,고대 유적 벤치
0x1f64b675,정예 망자 흉갑
0x1f70597f,어둠의 천둥투사 대검
0x20ca5b8a,야자나무 협탁
0x21bbb11b,조명 화살
0x23634590,비밀 나무 바닥 통로
0x24a9d1a0,큰 망자의 전야 호박 III
0x25d544b8,대형 유리병 세트
0x27164003,드락달 추장 도끼
0x27238f15,낡은 소검
0x2792d21e,하급 지구력 반지
0x27de69c6,정예 망자 장화
0x281d4015,소형 고대 유적 선반
0x28b5b905,대마법사 흉갑
0x28e5264f,큰 검은 수렁 조각상 I
0x29073a24,원형 나무 창틀
0x29fa8e1d,돌
0x2a6de65c,연약한 어둠의 안개 꽃잎
0x2ae39d35,밧줄이 달린 조각된 열대나무 울타리 I
0x2ae6ca73,두개골 전리품 I
0x2b1cb4ab,황금 어둠의 흉물 전리품
0x2b298666,양모
0x2b64a18a,드락 이빨
0x2bd2b2d9,상급 지구력 물약
0x2be72ac1,황금 약탈자 여족장 전리품
0x2cbe293d,조잡한 벤치
0x2d42b0a0,천상의 보호막
0x2d86b208,돌 벤치
0x2d95061a,베일워터 분지 판자 산책로 II
0x2de9c0ae,황금 망자의 키클롭스 전리품
0x2ea8dc1c,대장간
0x2f004a4b,어둠의 새끼 용 전리품
0x2f16a933,황동 황소 바지
0x30087488,소형 망자의 전야 호박 I
0x3038baab,"마네킹 ""폼 좀 잡아봐"""
0x308eb333,철 망자의 키클롭스 전리품
